"Bedrijfstakken/branches (SBI 2008)","Perioden","Regio's","Oprichtingen van vestigingen (aantal)"
"02 Bosbouw","2021","Gelderland (PV)","10"
"02 Bosbouw","2022**","Gelderland (PV)","15"
"02 Bosbouw","2023*","Gelderland (PV)","10"
"02 Bosbouw","2017","Utrecht (PV)","5"
"02 Bosbouw","2018","Utrecht (PV)","5"
"02 Bosbouw","2019","Utrecht (PV)","5"
"02 Bosbouw","2020","Utrecht (PV)","0"
"02 Bosbouw","2021","Utrecht (PV)","0"
"02 Bosbouw","2022**","Utrecht (PV)","0"
"02 Bosbouw","2023*","Utrecht (PV)","0"
"02 Bosbouw","2017","Noord-Holland (PV)","5"
"02 Bosbouw","2018","Noord-Holland (PV)","0"
"02 Bosbouw","2019","Noord-Holland (PV)","0"
"02 Bosbouw","2020","Noord-Holland (PV)","0"
"02 Bosbouw","2021","Noord-Holland (PV)","0"
"02 Bosbouw","2022**","Noord-Holland (PV)","5"
"02 Bosbouw","2023*","Noord-Holland (PV)","0"
"02 Bosbouw","2017","Zuid-Holland (PV)","0"
"02 Bosbouw","2018","Zuid-Holland (PV)","0"
"02 Bosbouw","2019","Zuid-Holland (PV)","0"
"02 Bosbouw","2020","Zuid-Holland (PV)","5"
"02 Bosbouw","2021","Zuid-Holland (PV)","5"
"02 Bosbouw","2022**","Zuid-Holland (PV)","5"
"02 Bosbouw","2023*","Zuid-Holland (PV)","0"
"02 Bosbouw","2017","Zeeland (PV)","0"
"02 Bosbouw","2018","Zeeland (PV)","0"
"02 Bosbouw","2019","Zeeland (PV)","0"
"02 Bosbouw","2020","Zeeland (PV)","0"
"02 Bosbouw","2021","Zeeland (PV)","0"
"02 Bosbouw","2022**","Zeeland (PV)","0"
"02 Bosbouw","2023*","Zeeland (PV)","0"
"02 Bosbouw","2017","Noord-Brabant (PV)","5"
"02 Bosbouw","2018","Noord-Brabant (PV)","5"
"02 Bosbouw","2019","Noord-Brabant (PV)","5"
"02 Bosbouw","2020","Noord-Brabant (PV)","5"
"02 Bosbouw","2021","Noord-Brabant (PV)","5"
"02 Bosbouw","2022**","Noord-Brabant (PV)","0"
"02 Bosbouw","2023*","Noord-Brabant (PV)","5"
"02 Bosbouw","2017","Limburg (PV)","0"
"02 Bosbouw","2018","Limburg (PV)","0"
"02 Bosbouw","2019","Limburg (PV)","5"
"02 Bosbouw","2020","Limburg (PV)","0"
"02 Bosbouw","2021","Limburg (PV)","0"
"02 Bosbouw","2022**","Limburg (PV)","0"
"02 Bosbouw","2023*","Limburg (PV)","5"
"02 Bosbouw","2017","Niet in te delen (PV)","0"
"02 Bosbouw","2018","Niet in te delen (PV)","0"
"02 Bosbouw","2019","Niet in te delen (PV)","0"
"02 Bosbouw","2020","Niet in te delen (PV)","0"
"02 Bosbouw","2021","Niet in te delen (PV)","0"
"02 Bosbouw","2022**","Niet in te delen (PV)","0"
"02 Bosbouw","2023*","Niet in te delen (PV)","0"
"03 Visserij","2017","Nederland","55"
"03 Visserij","2018","Nederland","45"
"03 Visserij","2019","Nederland","45"
"03 Visserij","2020","Nederland","40"
"03 Visserij","2021","Nederland","40"
"03 Visserij","2022**","Nederland","40"
"03 Visserij","2023*","Nederland","20"
"03 Visserij","2017","Groningen (PV)","5"
"03 Visserij","2018","Groningen (PV)","0"
"03 Visserij","2019","Groningen (PV)","0"
"03 Visserij","2020","Groningen (PV)","5"
"03 Visserij","2021","Groningen (PV)","0"
"03 Visserij","2022**","Groningen (PV)","0"
"03 Visserij","2023*","Groningen (PV)","0"
"03 Visserij","2017","Fryslân (PV)","10"
"03 Visserij","2018","Fryslân (PV)","5"
"03 Visserij","2019","Fryslân (PV)","5"
"03 Visserij","2020","Fryslân (PV)","5"
"03 Visserij","2021","Fryslân (PV)","5"
"03 Visserij","2022**","Fryslân (PV)","0"
"03 Visserij","2023*","Fryslân (PV)","5"
"03 Visserij","2017","Drenthe (PV)","0"
"03 Visserij","2018","Drenthe (PV)","0"
"03 Visserij","2019","Drenthe (PV)","0"
"03 Visserij","2020","Drenthe (PV)","0"
"03 Visserij","2021","Drenthe (PV)","0"
"03 Visserij","2022**","Drenthe (PV)","0"
"03 Visserij","2023*","Drenthe (PV)","0"
"03 Visserij","2017","Overijssel (PV)","0"
"03 Visserij","2018","Overijssel (PV)","0"
"03 Visserij","2019","Overijssel (PV)","0"
"03 Visserij","2020","Overijssel (PV)","0"
"03 Visserij","2021","Overijssel (PV)","0"
"03 Visserij","2022**","Overijssel (PV)","0"
"03 Visserij","2023*","Overijssel (PV)","0"
"03 Visserij","2017","Flevoland (PV)","10"
"03 Visserij","2018","Flevoland (PV)","5"
"03 Visserij","2019","Flevoland (PV)","5"
"03 Visserij","2020","Flevoland (PV)","5"
"03 Visserij","2021","Flevoland (PV)","0"
"03 Visserij","2022**","Flevoland (PV)","5"
"03 Visserij","2023*","Flevoland (PV)","0"
"03 Visserij","2017","Gelderland (PV)","5"
"03 Visserij","2018","Gelderland (PV)","0"
"03 Visserij","2019","Gelderland (PV)","0"
"03 Visserij","2020","Gelderland (PV)","0"
"03 Visserij","2021","Gelderland (PV)","0"
"03 Visserij","2022**","Gelderland (PV)","0"
"03 Visserij","2023*","Gelderland (PV)","0"
"03 Visserij","2017","Utrecht (PV)","0"
"03 Visserij","2018","Utrecht (PV)","0"
"03 Visserij","2019","Utrecht (PV)","0"
"03 Visserij","2020","Utrecht (PV)","0"
"03 Visserij","2021","Utrecht (PV)","0"
"03 Visserij","2022**","Utrecht (PV)","0"
"03 Visserij","2023*","Utrecht (PV)","0"
"03 Visserij","2017","Noord-Holland (PV)","10"
"03 Visserij","2018","Noord-Holland (PV)","10"
"03 Visserij","2019","Noord-Holland (PV)","10"
"03 Visserij","2020","Noord-Holland (PV)","5"
"03 Visserij","2021","Noord-Holland (PV)","10"
"03 Visserij","2022**","Noord-Holland (PV)","10"
"03 Visserij","2023*","Noord-Holland (PV)","5"
"03 Visserij","2017","Zuid-Holland (PV)","5"
"03 Visserij","2018","Zuid-Holland (PV)","10"
"03 Visserij","2019","Zuid-Holland (PV)","10"
"03 Visserij","2020","Zuid-Holland (PV)","0"
"03 Visserij","2021","Zuid-Holland (PV)","5"
"03 Visserij","2022**","Zuid-Holland (PV)","0"
"03 Visserij","2023*","Zuid-Holland (PV)","5"
"03 Visserij","2017","Zeeland (PV)","10"
"03 Visserij","2018","Zeeland (PV)","10"
"03 Visserij","2019","Zeeland (PV)","10"
"03 Visserij","2020","Zeeland (PV)","15"
"03 Visserij","2021","Zeeland (PV)","10"
"03 Visserij","2022**","Zeeland (PV)","15"
"03 Visserij","2023*","Zeeland (PV)","0"
"03 Visserij","2017","Noord-Brabant (PV)","0"
"03 Visserij","2018","Noord-Brabant (PV)","0"
"03 Visserij","2019","Noord-Brabant (PV)","0"
"03 Visserij","2020","Noord-Brabant (PV)","0"
